arg_id, attacked_by_arg_id
1,32
1,26
3,4
3,13
3,26
3,32
3,37
4,1
4,10
5,11
5,33
6,4
6,13
6,26
6,32
6,36
7,8
7,32
7,25
7,26
8,7
8,29
8,34
8,27
9,1
9,17
9,3
11,5
11,6
11,10
11,34
12,1
12,3
12,17
13,1
13,3
13,10
13,17
14,3
14,7
14,17
14,27
16,3
16,7
16,10
16,17
16,34
17,4
17,13
17,26
17,32
17,39
18,38
19,3
19,17
19,27
20,24
21,3
21,17
22,1
22,34
24,4
24,12
24,13
24,20
24,26
24,32
24,36
24,39
26,10
26,34
27,37
28,26
28,32
28,36
29,12
29,25
30,1
30,5
31,3
31,6
31,10
31,17
31,19
32,1
32,27
34,26
34,32
35,26
35,32
35,16
36,1
36,17
36,3
36,6
36,29
37,17
38,10
38,5
38,34
38,7
39,10
39,29
39,34
40,6
40,10
40,17
