id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
0,0.9880052132703782,0,regular,100,1,50,0,14,0.06385381348834732,0.17394601121549688,0.0
2,0.2507461296201259,0,regular,100,1,50,0,14,0.06385381348834732,0.17394601121549688,0.0
1,0.8048544387114978,0,regular,100,1,50,0,14,0.06385381348834732,0.17394601121549688,0.0
3,0.06616203447008939,0,regular,100,1,50,0,14,0.06385381348834732,0.17394601121549688,0.0
2,0.2507461296201259,50,regular,100,1,50,1,75,0.02815992807847752,0.232492866161841,0.27
0,0.9880052132703782,50,regular,100,1,50,1,85,0.025534316546907722,0.26700049225389566,0.28
1,0.8048544387114978,50,regular,100,1,50,1,67,0.028482508550858546,0.26804417034516925,0.25
3,0.06616203447008939,50,regular,100,1,50,1,86,0.03145034188077177,0.22145178905065535,0.28
3,0.06616203447008939,100,regular,100,1,50,0,86,0.03431928516228584,0.2590306917519191,0.28
2,0.2507461296201259,100,regular,100,1,50,1,74,0.029398897117140943,0.25313972047099276,0.28
1,0.8048544387114978,100,regular,100,1,50,100,0,0.025477977949191877,0.18491599701343872,0.27
0,0.9880052132703782,100,regular,100,1,50,100,0,0.027111987566348115,0.18370555862795496,0.28
2,0.2507461296201259,150,regular,100,1,50,1,68,0.031122675451199646,0.24989211198483408,0.29
3,0.06616203447008939,150,regular,100,1,50,0,89,0.03569448101897198,0.2510104602666486,0.29
1,0.8048544387114978,150,regular,100,1,50,100,0,0.025773873866640627,0.1479928078872703,0.27
0,0.9880052132703782,150,regular,100,1,50,100,0,0.026121322658130258,0.16938004023747386,0.28
0,0.9880052132703782,200,regular,100,1,50,100,0,0.02640836687308717,0.16863506596836209,0.28
2,0.2507461296201259,200,regular,100,1,50,1,68,0.032129487692786035,0.2508097108300462,0.29
1,0.8048544387114978,200,regular,100,1,50,100,0,0.03197108573071604,0.15351504967880147,0.28
3,0.06616203447008939,200,regular,100,1,50,0,89,0.03517856524404025,0.25331338839066203,0.29
1,0.8048544387114978,250,regular,100,1,50,100,0,0.03316851267305168,0.15337556898055213,0.28
0,0.9880052132703782,250,regular,100,1,50,100,0,0.025879862317006088,0.16865881643958303,0.28
2,0.2507461296201259,250,regular,100,1,50,1,68,0.031806198490141165,0.2535726212608508,0.29
3,0.06616203447008939,250,regular,100,1,50,0,88,0.03560232421790767,0.25146670601808035,0.29
3,0.06616203447008939,300,regular,100,1,50,0,81,0.03616162490295505,0.2586616053785367,0.29
2,0.2507461296201259,300,regular,100,1,50,1,68,0.03156601773206234,0.2574484629471159,0.3
0,0.9880052132703782,300,regular,100,1,50,100,0,0.02656203273174957,0.17258913977014947,0.28
1,0.8048544387114978,300,regular,100,1,50,100,0,0.0323067948208764,0.15298970932041528,0.28
3,0.06616203447008939,350,regular,100,1,50,0,83,0.036821732693602685,0.26067636097949354,0.3
2,0.2507461296201259,350,regular,100,1,50,1,69,0.031513320781877845,0.2561956308628118,0.3
0,0.9880052132703782,350,regular,100,1,50,100,0,0.026554559600587835,0.1704917570500429,0.28
